,d,d_hole,hef,ad,fc_ad,fc,bar,fu,Nu,FM
count,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
mean,19.795,25.4595,180.6425,0.3125,70.98040999999999,36.52965,1.5175,1109.41545,157.510475,1.665
std,20.912933844992015,29.915482613523054,225.58136597564658,0.6526166725599785,10.52045201921579,17.698462272030476,0.8869387808651205,1096.1202117177374,391.8650516910975,1.325582106019653
min,6.0,8.0,18.0,0.0,50.0,8.0,0.0,326.09,5.8,0.0
25%,12.0,12.7,73.75,0.0,66.0,25.0,1.0,597.0,29.11,0.0
50%,15.9,15.9,101.6,0.0,75.6,37.58,1.0,683.0,50.64,1.0
75%,20.0,24.0,200.0,0.0,76.34800000000001,45.0,2.0,861.9,93.92750000000001,3.0
max,150.0,210.0,1800.0,2.0,90.8,119.5,3.0,3800.0,3000.0,4.0
