iter	RMSE
112	0.2840807634
113	0.2830440387
114	0.281944748
115	0.2807410773
116	0.2795923205
117	0.2787698123
118	0.2776598526
119	0.276269304
120	0.2749670146
121	0.2740339375
122	0.2732000185
123	0.2722782007
124	0.2712639728
125	0.2702570552
126	0.2692304138
127	0.2683323768
128	0.2675653677
129	0.2672852422
130	0.2666703428
131	0.2654162392
132	0.2647171301
133	0.2639431937
134	0.2632636608
135	0.2627533448
136	0.2621686659
137	0.2613894564
138	0.2602619399
139	0.2593678741
140	0.2588444316
141	0.2582578204
142	0.2573215043
143	0.2559836954
144	0.2549875538
145	0.2543399121
146	0.2535339554
147	0.2529223189
148	0.2522250012
149	0.2515703019
150	0.2511896375
151	0.2507458882
152	0.2500455513
153	0.2493993516
154	0.248570361
155	0.2472951355
156	0.2467779852
157	0.2461596818
158	0.2453271123
159	0.2441069282
160	0.2433777069
161	0.2428357169
162	0.2419363503
163	0.2414757416
164	0.2409333035
165	0.2404444188
166	0.2394656269
167	0.2389205103
168	0.2385181086
169	0.2381740464
170	0.237548137
171	0.2368823511
172	0.2365122081
173	0.2360700896
174	0.2357097747
175	0.2352923315
176	0.234986667
177	0.234551997
178	0.2332597764
179	0.2327146884
180	0.2319474901
181	0.2315197159
182	0.2310464393
183	0.2308855915
184	0.2304301316
185	0.229924706
186	0.2290945327
187	0.228771657
188	0.228524587
189	0.228067044
190	0.227855686
191	0.2269773884
192	0.2268335408
193	0.2265951224
194	0.2261653056
195	0.2252160382
196	0.2244279609
197	0.2238182554
198	0.2234063029
199	0.2232728818
200	0.2224318646
201	0.222114201
202	0.2218261898
203	0.2215191462
204	0.2214619597
205	0.2211534776
206	0.2209204317
207	0.2205902267
208	0.2203018996
209	0.2201179097
210	0.2199465141
211	0.2196506324
212	0.2195716219
213	0.2191055709
214	0.218762884
215	0.2184685318
216	0.218047562
217	0.2178004623
218	0.2176200798
219	0.2174454312
220	0.2168032175
221	0.2165922977
222	0.2165154394
223	0.2159403403
224	0.2158395914
225	0.2157654904
226	0.2155698233
227	0.2154113479
228	0.2152263969
229	0.2149063893
230	0.2146100848
231	0.2144824971
232	0.2139648247
233	0.2138020315
234	0.2137151729
235	0.2135648678
236	0.2133579133
237	0.2133086664
238	0.213117158
239	0.2127608861
240	0.2125427799
241	0.2123932069
242	0.211569863
243	0.2114941253
244	0.2108357068
245	0.2106914102
246	0.2105974225
247	0.20964512
248	0.2095214266
249	0.2094533553
250	0.2094080462
251	0.2093599282
252	0.2091223131
253	0.2086534084
254	0.2081751954
255	0.2081364987
256	0.2080097894
257	0.2078599779
258	0.2077369176
259	0.2076567798
260	0.2074192367
261	0.2073735581
262	0.2072776058
263	0.2071595718
264	0.2070329192
265	0.2069575073
266	0.2068510765
267	0.2067383688
268	0.2060302623
269	0.205428847
270	0.2053989114
271	0.2051215214
272	0.205008048
273	0.2044526932
274	0.2044148483
275	0.2043211491
276	0.2037062291
277	0.2031369858
278	0.2021841847
279	0.202033235
280	0.2019408525
281	0.2011008075
282	0.2010666455
283	0.2009869904
284	0.2004727484
285	0.2004379472
286	0.2001584147
287	0.2001180572
288	0.2000899261
289	0.2000224578
290	0.1999926303
291	0.1998695658
292	0.1998450287
293	0.1997335243
294	0.1992224217
295	0.1985356007
296	0.1984283673
297	0.1975823623
298	0.197507426
299	0.1969600519
300	0.1968070516
301	0.1960712576
302	0.1959694394
303	0.1959418349
304	0.1958634387
305	0.1958398326
306	0.1957806106
307	0.1957197785
308	0.1955369339
309	0.1954817169
310	0.195220738
311	0.1951987556
312	0.1947172952
313	0.1944790456
314	0.1940134009
315	0.1939620731
316	0.1933508933
317	0.1932855589
318	0.1932411355
319	0.1927527952
320	0.1926915636
321	0.1922964265
322	0.1922459277
323	0.1918086971
324	0.1917790046
325	0.1917589051
326	0.1912350038
327	0.1911812357
328	0.190548284
329	0.1905032416
330	0.1901883284
331	0.1898393864
332	0.1897880814
333	0.189244315
334	0.1891798634
335	0.1891171956
336	0.188985165
337	0.1885570029
338	0.1880502887
339	0.1876536482
340	0.1872547805
341	0.1868747551
342	0.186829734
343	0.1866409484
344	0.1862805489
345	0.1860277694
346	0.1859367014
347	0.1858496492
348	0.1857618693
349	0.1853508254
350	0.1849523264
351	0.1845659938
352	0.1844993296
353	0.1844264417
354	0.1838847183
355	0.1836376819
356	0.1835891723
357	0.1831951476
358	0.182810433
359	0.1825088085
360	0.1824304368
361	0.1823749877
362	0.1821694236
363	0.1817617371
364	0.1814276986
365	0.1813723801
366	0.1808147964
367	0.1807356512
368	0.1805788669
369	0.180494992
370	0.1802374043
371	0.1799273299
372	0.1796895957
373	0.1791742517
374	0.1791377103
375	0.1790954887
376	0.1786518048
377	0.1783217054
378	0.1780551379
379	0.1780076597
380	0.1779729838
381	0.1779033213
382	0.1778633789
383	0.177595549
384	0.1774247452
385	0.1772914672
386	0.1769020806
387	0.1768597119
388	0.1767975434
389	0.1765032434
390	0.1764644929
391	0.176445872
392	0.176403686
393	0.176370821
394	0.1761344734
395	0.17571871
396	0.1755900095
397	0.1755584362
398	0.1753951211
399	0.1749527879
400	0.1749310807
401	0.1746511284
402	0.1744873226
403	0.1741479923
404	0.1737273521
405	0.1736965692
406	0.1736596826
407	0.1732931479
408	0.1732222682
409	0.1730938655
410	0.1729298936
411	0.172782796
412	0.1725477526
413	0.1723374363
414	0.1723019034
415	0.1721911822
416	0.1718324283
417	0.1718004675
418	0.171527607
419	0.1712438021
420	0.1709813215
421	0.1708031668
422	0.1704305413
423	0.170232108
424	0.170198747
425	0.169999587
426	0.1699681734
427	0.1699379514
428	0.1699074701
429	0.1696042085
430	0.1695929049
431	0.1694976502
432	0.1693287728
433	0.1690380212
434	0.1688070086
435	0.168552012
436	0.1683719974
437	0.1680787637
438	0.1679175458
439	0.1678852361
440	0.1676949734
441	0.1674687461
442	0.1674365583
443	0.1671886396
444	0.1668664653
445	0.1665510466
446	0.1663205589
447	0.1662496628
448	0.1662161724
449	0.1659146063
450	0.1657806934
451	0.1657551863
452	0.1654630855
453	0.1654358244
454	0.1651985025
455	0.1650543704
456	0.1649352595
457	0.1646878306
458	0.1645723932
459	0.1643998879
460	0.1641438658
461	0.1639855665
462	0.1637879319
463	0.1636273369
464	0.1634810098
465	0.1632910721
466	0.1632625026
467	0.1631616655
468	0.1631340239
469	0.1631054865
470	0.163079485
471	0.1628361538
472	0.1628252279
473	0.1628000119
474	0.1627758343
475	0.162568626
476	0.162561241
477	0.1623768395
478	0.1621885873
479	0.1620817417
480	0.1620636794
481	0.1620393171
482	0.1618575955
483	0.1616893383
484	0.1615886598
485	0.1614120765
486	0.1613349329
487	0.1611904454
488	0.1611645533
489	0.1608617214
490	0.1607237878
491	0.1604824364
492	0.1603033707
493	0.1602274562
494	0.1600533943
495	0.1600292918
496	0.1598189242
497	0.1598020042
498	0.1597792096
499	0.1596486667
500	0.1594219285
501	0.1591950747
502	0.1590668604
503	0.15901208
504	0.1588166126
505	0.1586539952
506	0.1585057679
507	0.1583078025
508	0.1582472371
509	0.1582115384
510	0.1581570237
511	0.1581358613
512	0.1580768335
513	0.1578801902
514	0.157849439
515	0.1576905133
516	0.1576766578
517	0.157575931
518	0.1573653215
519	0.1571182121
520	0.1570498852
521	0.1568525791
522	0.1568388215
523	0.1567684492
524	0.1567001238
525	0.1565170776
526	0.1563784926
527	0.1562392971
528	0.1561719825
529	0.1559711249
530	0.155775134
531	0.1557526706
532	0.1557324589
533	0.1555731505
534	0.1555538445
535	0.1554708446
536	0.1552393732
537	0.1552199959
538	0.1550879811
539	0.155065175
540	0.1549807698
541	0.1547868388
542	0.1546146623
543	0.1544736257
544	0.1544559635
545	0.1544407826
546	0.1544228266
547	0.1542831812
548	0.1540798658
549	0.1540681451
550	0.1539255974
551	0.1538675708
552	0.15377158
553	0.1536299041
554	0.1534911591
555	0.1534265688
556	0.1532364937
557	0.1530531717
558	0.1528957232
559	0.1527735244
560	0.1526772035
561	0.1526602074
562	0.1525132251
563	0.1524450131
564	0.1523174259
565	0.1523000233
566	0.1522847892
567	0.152197464
568	0.1521591318
569	0.1520320347
570	0.1519107182
571	0.1518031902
572	0.1516569409
573	0.1514918228
574	0.1514750776
575	0.1514411585
576	0.1512724515
577	0.1511545117
578	0.1511501874
579	0.1510120987
580	0.1510028664
581	0.150900163
582	0.1507577238
583	0.1506439091
584	0.150583425
585	0.1505693428
586	0.1505191404
587	0.150461668
588	0.1503617037
589	0.1503226539
590	0.1502008942
591	0.1500487716
592	0.1499367492
593	0.149885714
594	0.1497455425
595	0.1497346667
596	0.1496545481
597	0.149652265
598	0.1495748083
599	0.1494455637
600	0.1494247961
601	0.1494188811
602	0.1494040342
603	0.1493005153
604	0.1492211731
605	0.1491076513
606	0.1490041575
607	0.1488847218
608	0.1488174024
609	0.1487604561
610	0.148647743
611	0.1484800526
612	0.1484217544
613	0.1484102732
614	0.1483763449
615	0.1482551054
616	0.1481490069
617	0.1481347457
618	0.1481212931
619	0.1480068975
620	0.1479563398
621	0.1479443562
622	0.1479305368
623	0.1478629635
624	0.1478493257
625	0.1477976459
626	0.1477039993
627	0.1476625058
628	0.1475595732
629	0.1475485062
630	0.147535607
631	0.1474561303
632	0.1473427326
633	0.147240271
634	0.1470900725
635	0.1469923778
636	0.1468565615
637	0.1467122475
638	0.146665533
639	0.1466535736
640	0.146613851
641	0.1465852888
642	0.1465363484
643	0.1464947478
644	0.1464141971
645	0.1463363496
646	0.1462459461
647	0.1461447314
648	0.1460991698
649	0.1460573471
650	0.1459824152
651	0.1459434483
652	0.1458706653
653	0.1457789316
654	0.1456944811
655	0.1456840202
656	0.1456738213
657	0.1455998696
658	0.1455697642
659	0.1455586332
660	0.1455368488
661	0.1454324781
662	0.145392783
663	0.1453819999
664	0.1452999382
665	0.1452492103
666	0.1452059382
667	0.1451975369
668	0.1451386355
669	0.1451287783
670	0.1449756676
671	0.1448770473
672	0.1448460385
673	0.1447369502
674	0.1446988962
675	0.1446640155
676	0.1446288749
677	0.1445486755
678	0.144451077
679	0.144426558
680	0.1443895526
681	0.1443354631
682	0.1442054813
683	0.1441563945
684	0.1441211097
685	0.1440918051
686	0.1440298635
687	0.1440189648
688	0.1439873452
689	0.1439260052
690	0.1438370016
691	0.1437830333
692	0.1436839828
693	0.1436179825
694	0.1436088702
695	0.1435959656
696	0.1435474346
697	0.1434706196
698	0.143407479
699	0.143397925
700	0.1433034733
701	0.14326285
702	0.1431893217
703	0.1431346918
704	0.1431262739
705	0.1430917403
706	0.1430199026
707	0.1429780931
708	0.1429079583
709	0.142837632
710	0.1427863491
711	0.1427502913
712	0.1427052992
713	0.1426606605
714	0.142647563
715	0.1426221128
716	0.1425556353
717	0.142486859
718	0.1424456321
719	0.1424106261
720	0.1423705218
721	0.142362548
722	0.1423595577
723	0.1423507004
724	0.1423221384
725	0.142274082
726	0.1422344062
727	0.1421963685
728	0.1421877223
729	0.1421511361
730	0.1420888328
731	0.1420831192
732	0.1420621256
733	0.1420479096
734	0.1420443327
735	0.1420055797
736	0.1419971558
737	0.1419650766
738	0.1419217395
739	0.1418530388
740	0.1418110447
741	0.1417529704
742	0.1416641465
743	0.1416420072
744	0.14157285
745	0.1415361393
746	0.1414196583
747	0.1413835606
748	0.1413210401
749	0.1412746381
750	0.1412521931
751	0.1412469375
752	0.1412278284
753	0.1412204988
754	0.1411492662
755	0.1411282554
756	0.1410819503
757	0.1410154539
758	0.1410104587
759	0.1409454177
760	0.140935973
761	0.1409286738
762	0.1408957734
763	0.1408097176
764	0.1407186976
765	0.1406754821
766	0.1406379795
767	0.1405743701
768	0.14054364
769	0.1405278974
770	0.1404282939
771	0.1403905672
772	0.1403539909
773	0.1403069005
774	0.1402729627
775	0.1402657708
776	0.1402326517
777	0.1401966433
778	0.1401775206
779	0.1401591152
780	0.1401356011
781	0.1401072101
782	0.1400505867
783	0.1400429166
784	0.1400002796
785	0.1399933922
786	0.1399860492
787	0.1399516212
788	0.1399437226
789	0.1399152415
790	0.1398518443
791	0.1398211153
792	0.1397087092
793	0.139626533
794	0.1395808455
795	0.1395279597
796	0.1395014462
797	0.1394810773
798	0.1394505778
799	0.1394087566
800	0.1393767019
801	0.1393241876
802	0.1392640945
803	0.1392502989
804	0.1392023793
805	0.1391817479
806	0.13917937
807	0.139147923
808	0.1391183843
809	0.1390910187
810	0.1390825506
811	0.1390662361
812	0.1390427251
813	0.139015821
814	0.1389588269
815	0.1389523114
816	0.1389231976
817	0.1388833006
818	0.1388707913
819	0.1387987309
820	0.1387974972
821	0.1387288286
822	0.1386964195
823	0.1385944389
824	0.1385734684
825	0.1384990889
826	0.1384353616
827	0.1383899579
828	0.1383290251
829	0.1382747159
830	0.1382638061
831	0.138257772
832	0.1382347411
833	0.1382235797
834	0.1381796511
835	0.1381291673
836	0.1381163154
837	0.1380910609
838	0.138056486
839	0.1380310731
840	0.1380265123
841	0.1379971741
842	0.1379955012
843	0.1379893156
844	0.1379788101
845	0.137966781
846	0.1379410704
847	0.1379021964
848	0.1378448404
849	0.1378181156
850	0.1377858695
851	0.1377084806
852	0.1376717206
853	0.1376169337
854	0.1375972382
855	0.1375728947
856	0.1375668811
857	0.1375312753
858	0.1374916212
859	0.1374611564
860	0.1373928051
861	0.1373883492
862	0.1373824787
863	0.137379626
864	0.1373171315
865	0.1373073746
866	0.1372905315
867	0.1372884117
868	0.1372825048
869	0.1372633265
870	0.1372464067
871	0.137237094
872	0.1372152869
873	0.1371620523
874	0.1370874259
875	0.1370462836
876	0.137020487
877	0.1369396869
878	0.1369039839
879	0.136882665
880	0.1368197899
881	0.1368086184
882	0.1367594777
883	0.1367485125
884	0.1367471766
885	0.1367129544
886	0.1366970482
887	0.1366679497
888	0.1366607936
889	0.1366224022
890	0.136614406
891	0.1365683476
892	0.1365426231
893	0.1365370855
894	0.1364877294
895	0.1364711615
896	0.1364640028
897	0.1364564945
898	0.1364077813
899	0.1363826524
900	0.1363335028
901	0.1362947032
902	0.1362190691
903	0.1362170682
904	0.1361759658
905	0.1361577839
906	0.1361568876
907	0.136109327
908	0.1360721112
909	0.1360499116
910	0.135985483
911	0.1359519769
912	0.1359108814
913	0.1359052832
914	0.135876516
915	0.1358130578
916	0.1357839136
917	0.1357335738
918	0.135689895
919	0.1356696417
920	0.1356492411
921	0.1356219363
922	0.1356181828
923	0.1355660235
924	0.1355589493
925	0.1355088373
926	0.1354618636
927	0.1354183415
928	0.1353627912
929	0.1353476196
930	0.1353281947
931	0.1353217349
932	0.1353033495
933	0.1352845774
934	0.135282127
935	0.1352614492
936	0.1352594111
937	0.1352545017
938	0.1352192802
939	0.1351688751
940	0.1351618326
941	0.1350915194
942	0.1350762508
943	0.1350717199
944	0.1350666174
945	0.1350646117
946	0.1350526281
947	0.1350250676
948	0.1349798803
949	0.1349695132
950	0.1349672453
951	0.134938702
952	0.1349365636
953	0.1349272108
954	0.1349131364
955	0.1348866793
956	0.1348630332
957	0.134850301
958	0.1348257506
959	0.1348238024
960	0.1347828022
961	0.1347612622
962	0.1347168296
963	0.1346692907
964	0.1346203398
965	0.1345769601
966	0.1345605165
967	0.1345540506
968	0.1345143562
969	0.1344664478
970	0.1344613921
971	0.1344226713
972	0.1343699428
973	0.1343274614
974	0.1343238137
975	0.1342839345
976	0.1342718807
977	0.1342501486
978	0.1342444076
979	0.1342426106
980	0.1342407287
981	0.1342220285
982	0.1342207515
983	0.1342033256
984	0.1342001288
985	0.1341676801
986	0.1341529285
987	0.1341100864
988	0.1340805024
989	0.134075803
990	0.1340602124
991	0.1339898964
992	0.133938445
993	0.1339310448
994	0.1339183074
995	0.1338686912
996	0.1338638028
997	0.1338467933
998	0.1338237742
999	0.1338203134
