source,code,d,d_hole,hef,ad,fc_ad,fc,bar,fu,Nu,FM
Ilki-2007,M4 20x26x120,20,26,120,0,83,16.1,1,562,65.1,1
Ilki-2007,M4 20x26x160,20,26,160,0,83,16.1,1,562,93,3
Ilki-2007,M4 20x26x200,20,26,200,0,83,16.1,1,562,104.5,3
Ilki-2007,M4 20x26x240,20,26,240,0,83,16.1,1,562,139.6,3
Musevitoglu-2020,C30-20-300-1,20,24,300,0,,30,1,620,89.2,3
Musevitoglu-2020,C30-20-300-2,20,24,300,0,,30,1,620,96.12,3
Musevitoglu-2020,C30-20-300-3,20,24,300,0,,30,1,620,99.08,3
Musevitoglu-2020,C30-20-200-1,20,24,200,0,,30,1,620,90.13,3
Musevitoglu-2020,C30-20-200-2,20,24,200,0,,30,1,620,94.61,3
Musevitoglu-2020,C30-20-200-3,20,24,200,0,,30,1,620,93.18,3
Musevitoglu-2020,C30-20-100-1,20,24,100,0,,30,1,620,69.48,3
Musevitoglu-2020,C30-20-100-2,20,24,100,0,,30,1,620,78.12,3
Musevitoglu-2020,C30-20-100-3,20,24,100,0,,30,1,620,36.44,3
Musevitoglu-2020,C30-16-240-1,16,24,240,0,,30,1,620,75.02,3
Musevitoglu-2020,C30-16-240-2,16,24,240,0,,30,1,620,69.96,3
Musevitoglu-2020,C30-16-240-3,16,24,240,0,,30,1,620,73.6,3
Musevitoglu-2020,C30-16-160-1,16,24,160,0,,30,1,620,73.34,3
Musevitoglu-2020,C30-16-160-2,16,24,160,0,,30,1,620,39.67,3
Musevitoglu-2020,C30-16-160-3,16,24,160,0,,30,1,620,48.94,3
Musevitoglu-2020,C30-16-80-1,16,24,80,0,,30,1,620,39.19,3
Musevitoglu-2020,C30-16-80-2,16,24,80,0,,30,1,620,22.64,3
Musevitoglu-2020,C30-16-80-3,16,24,80,0,,30,1,620,19.72,3
Musevitoglu-2020,C8-20-300-1,20,24,300,0,,8,1,620,103.63,3
Musevitoglu-2020,C8-20-300-2,20,24,300,0,,8,1,620,93.7,3
Musevitoglu-2020,C8-20-300-3,20,24,300,0,,8,1,620,92.25,3
Musevitoglu-2020,C8-20-200-1,20,24,200,0,,8,1,620,78.81,3
Musevitoglu-2020,C8-20-200-2,20,24,200,0,,8,1,620,79.66,3
Musevitoglu-2020,C8-20-200-3,20,24,200,0,,8,1,620,77.84,3
Musevitoglu-2020,C8-20-100-1,20,24,100,0,,8,1,620,35.31,3
Musevitoglu-2020,C8-20-100-2,20,24,100,0,,8,1,620,51.61,3
Musevitoglu-2020,C8-20-100-3,20,24,100,0,,8,1,620,22.07,3
Musevitoglu-2020,C8-16-240-1,16,24,240,0,,8,1,620,15.1,3
Musevitoglu-2020,C8-16-240-2,16,24,240,0,,8,1,620,67.86,3
Musevitoglu-2020,C8-16-240-3,16,24,240,0,,8,1,620,77.74,3
Musevitoglu-2020,C8-16-160-1,16,24,160,0,,8,1,620,39.24,3
Musevitoglu-2020,C8-16-160-2,16,24,160,0,,8,1,620,42.45,3
Musevitoglu-2020,C8-16-160-3,16,24,160,0,,8,1,620,55.38,3
Musevitoglu-2020,C8-16-80-1,16,24,80,0,,8,1,620,16.75,3
Musevitoglu-2020,C8-16-80-2,16,24,80,0,,8,1,620,21.58,3
Musevitoglu-2020,C8-16-80-3,16,24,80,0,,8,1,620,19.99,3
Gurbuz-2007,C10d16x22-6d-1 ,16,22,96,0,66,12.7,1,552,38.8,3
Gurbuz-2007,C10d16x22-6d-2,16,22,96,0,66,12.7,1,586.7,48.8,3
Gurbuz-2007,C10d16x22-6d-3,16,22,96,0,66,12.7,1,606.9,45.8,3
Gurbuz-2007,C10d16x22-8d-1 ,16,22,128,0,66,12.7,1,552,59.6,3
Gurbuz-2007,C10d16x22-8d-2,16,22,128,0,66,12.7,1,586.7,52,3
Gurbuz-2007,C10d16x22-8d-3,16,22,128,0,66,12.7,1,606.9,68.2,3
Gurbuz-2007,C10d16x22-10d-1 ,16,22,160,0,66,12.7,1,552,69.4,3
Gurbuz-2007,C10d16x22-10d-2,16,22,160,0,66,12.7,1,586.7,82.3,3
Gurbuz-2007,C10d16x22-10d-3,16,22,160,0,66,12.7,1,606.9,69.8,3
Gurbuz-2007,C10d16x22-12d-1 ,16,22,192,0,66,12.7,1,552,91.6,3
Gurbuz-2007,C10d16x22-12d-2,16,22,192,0,66,12.7,1,586.7,88.5,3
Gurbuz-2007,C10d16x22-12d-3,16,22,192,0,66,12.7,1,606.9,83.6,3
